tick,tick_dt,input_force,output_speed,output_ang_vel,output_angle,output_position
207.0,0.010535254958085716,0.13488743849826157,0.07460613954109992,0.17779348264085534,0.02806604982155492,0.014978326433655575
208.0,0.009555084048770368,0.13488743849826157,0.07695734181130928,0.18623963200336166,0.02976488149151189,0.015691194367525075
209.0,0.010512699955143034,0.13488743849826157,0.07962277036961268,0.19598837608830116,0.03172276286251949,0.016500223811332752
210.0,0.009538917918689549,0.13488743849826157,0.08210929903424186,0.2052358280594867,0.03359227989504305,0.017259738882347154
211.0,0.010241999989375472,0.13488743849826157,0.08486115290061659,0.2156427186266801,0.03569430524384778,0.018100702322183488
212.0,0.009679878945462406,0.13488743849826157,0.08753884600247151,0.22593241753785728,0.03778170065562445,0.018922148009433832
213.0,0.010636179940775037,0.13488743849826157,0.09057826655454425,0.2378066507055267,0.04018475850301142,0.019853226927323914
214.0,0.009592083981260657,0.13488743849826157,0.09340231679507512,0.24900539956748474,0.04246581986788115,0.020722061266992116
215.0,0.009587805951014161,0.13488743849826157,0.09631188487252838,0.26070685723830184,0.04485323531968894,0.021617584555798448
216.0,0.010503830038942397,0.13488743849826157,0.09960826005789686,0.27416933403527965,0.04759165583810688,0.022629228225229673
217.0,0.009597823955118656,0.13488743849826157,0.10271562062762302,0.2870327691167314,0.05022308484006961,0.023585250769741044
218.0,0.010571773978881538,0.13488743849826157,0.10625927055065451,0.301912989834391,0.053257530399704184,0.024671137095116816
219.0,0.009784711059182882,0.13488743849826157,0.10964762509455556,0.3163302035707978,0.056211661770247716,0.02571085335481451
